,precision,recall,f1-score,support
293,1.0,1.0,1.0,22.0
294,1.0,1.0,1.0,7.0
295,1.0,1.0,1.0,177.0
296,1.0,1.0,1.0,39.0
297,1.0,1.0,1.0,148.0
298,1.0,1.0,1.0,38.0
299,1.0,1.0,1.0,51.0
300,1.0,1.0,1.0,12.0
301,0.9905660377358491,1.0,0.995260663507109,315.0
302,1.0,1.0,1.0,36.0
303,1.0,0.9230769230769231,0.96,39.0
304,1.0,1.0,1.0,102.0
305,1.0,1.0,1.0,17.0
306,1.0,1.0,1.0,111.0
307,1.0,1.0,1.0,91.0
308,1.0,1.0,1.0,41.0
309,1.0,1.0,1.0,38.0
310,1.0,1.0,1.0,71.0
311,1.0,1.0,1.0,26.0
312,1.0,1.0,1.0,17.0
313,1.0,1.0,1.0,108.0
314,1.0,1.0,1.0,39.0
315,1.0,1.0,1.0,87.0
316,1.0,1.0,1.0,30.0
317,1.0,1.0,1.0,528.0
318,1.0,1.0,1.0,154.0
319,1.0,1.0,1.0,89.0
320,1.0,1.0,1.0,38.0
321,1.0,1.0,1.0,48.0
322,1.0,1.0,1.0,111.0
323,1.0,1.0,1.0,41.0
324,1.0,1.0,1.0,15.0
325,1.0,1.0,1.0,130.0
326,1.0,1.0,1.0,343.0
327,1.0,1.0,1.0,168.0
328,1.0,1.0,1.0,70.0
329,1.0,1.0,1.0,201.0
330,1.0,1.0,1.0,101.0
331,1.0,1.0,1.0,42.0
332,1.0,1.0,1.0,852.0
333,1.0,1.0,1.0,386.0
334,1.0,1.0,1.0,183.0
335,1.0,1.0,1.0,41.0
336,1.0,1.0,1.0,159.0
337,1.0,1.0,1.0,25.0
338,1.0,1.0,1.0,237.0
339,1.0,1.0,1.0,44.0
340,1.0,1.0,1.0,354.0
341,1.0,1.0,1.0,38.0
342,0.9924242424242424,1.0,0.9961977186311787,131.0
343,1.0,1.0,1.0,46.0
344,1.0,1.0,1.0,248.0
345,1.0,1.0,1.0,105.0
346,1.0,1.0,1.0,127.0
347,1.0,1.0,1.0,40.0
348,1.0,1.0,1.0,356.0
349,1.0,1.0,1.0,128.0
350,1.0,1.0,1.0,88.0
351,1.0,1.0,1.0,42.0
352,1.0,1.0,1.0,130.0
353,1.0,1.0,1.0,35.0
354,1.0,1.0,1.0,15.0
355,1.0,1.0,1.0,18.0
356,1.0,1.0,1.0,65.0
357,1.0,1.0,1.0,14.0
358,1.0,1.0,1.0,38.0
359,1.0,1.0,1.0,72.0
360,1.0,1.0,1.0,40.0
361,1.0,1.0,1.0,418.0
362,1.0,1.0,1.0,35.0
363,1.0,1.0,1.0,1334.0
364,1.0,1.0,1.0,411.0
365,1.0,1.0,1.0,164.0
366,1.0,1.0,1.0,319.0
367,1.0,1.0,1.0,41.0
368,1.0,1.0,1.0,291.0
369,1.0,1.0,1.0,39.0
370,1.0,1.0,1.0,139.0
371,1.0,1.0,1.0,39.0
372,1.0,1.0,1.0,71.0
373,1.0,1.0,1.0,39.0
374,1.0,1.0,1.0,195.0
375,1.0,1.0,1.0,42.0
376,1.0,1.0,1.0,145.0
377,1.0,1.0,1.0,20.0
378,1.0,1.0,1.0,31.0
379,1.0,1.0,1.0,71.0
380,1.0,1.0,1.0,252.0
381,1.0,1.0,1.0,475.0
382,1.0,1.0,1.0,104.0
383,1.0,1.0,1.0,16.0
384,1.0,1.0,1.0,115.0
385,1.0,1.0,1.0,39.0
386,1.0,1.0,1.0,293.0
387,1.0,1.0,1.0,91.0
388,1.0,1.0,1.0,64.0
389,1.0,1.0,1.0,293.0
390,1.0,0.9791666666666666,0.9894736842105263,48.0
